prop_address_zipcode_1,pin,year,board_tot,board_tot_num
60618,14191000331011,2019,30886,30886
60618,13261090080000,2020,25086,25086
60618,13261270370000,2020,27370,27370
60618,13252270380000,2017,27573,27573
60618,13232220331006,2020,25199,25199
60618,14192270531001,2020,74342,74342
60618,13143080311003,2016,24676,24676
60618,13251030300000,2016,42767,42767
60618,13133070441005,2016,36200,36200
60618,14193170190000,2016,53341,53341
60618,13252100390000,2016,51603,51603
60618,13262000350000,2016,29093,29093
60618,14193280270000,2017,109375,109375
60618,14301180351028,2017,29673,29673
60618,14193310381003,2016,42233,42233
60618,14301130170000,2019,50645,50645
60618,13261160741003,2019,22949,22949
60618,13144290240000,2020,22162,22162
60618,13241110090000,2020,34064,34064
60618,14183280031046,2016,1140,1140
60618,13261150480000,2016,31048,31048
60618,13252150150000,2019,42766,42766
60618,13243110240000,2019,62964,62964
60618,13262260341007,2019,13499,13499
60618,13244042060000,2020,41586,41586
60618,13242020461003,2020,33347,33347
60618,13133280461051,2020,2289,2289
60618,14183000451001,2020,35454,35454
60618,13261000301140,2018,19035,19035
60618,13261000301104,2018,22112,22112
60618,13261000301041,2018,15254,15254
60618,13261150140000,2020,28750,28750
60618,14193260150000,2020,15600,15600
60618,14183100060000,2020,95596,95596
60618,14301010370000,2020,89455,89455
60618,13252100461001,2020,38562,38562
60618,14183290440000,2020,59844,59844
60618,14191020150000,2020,68196,68196
60618,13241110160000,2020,31946,31946
60618,14193250320000,2020,50495,50495
60618,13243090130000,2020,6875,6875
60618,13251220511003,2020,7916,7916
60618,13143240421004,2016,13585,13585
60618,13143150411003,2016,12722,12722
60618,13261020320000,2017,29124,29124
60618,13241230150000,2017,26127,26127
60618,13143050401017,2017,544,544
60618,13232190381006,2019,13353,13353
60618,13133230250000,2019,46523,46523
60618,14191070110000,2019,70952,70952
60618,13144290481050,2017,15962,15962
60618,14193070140000,2020,66944,66944
60618,13251200300000,2017,74258,74258
60618,13133280040000,2019,37459,37459
60618,14183080400000,2019,41020,41020
60618,13144280421007,2017,16897,16897
60618,13261200360000,2018,30058,30058
60618,13143060170000,2018,36921,36921
60618,13143100100000,2018,187944,187944
60618,13241180380000,2019,43341,43341
60618,13261000301330,2019,619,619
60618,13133030371015,2019,19624,19624
60618,13233140320000,2019,37497,37497
60618,13133280451012,2019,29074,29074
60618,13262200310000,2019,46267,46267
60618,13252160501011,2019,18022,18022
60618,13232030020000,2019,103623,103623
60618,14193160400000,2017,52127,52127
60618,14193150290000,2017,40523,40523
60618,13232020150000,2020,27138,27138
60618,13261060370000,2017,39608,39608
60618,13143070110000,2017,30597,30597
60618,13144210260000,2016,11200,11200
60618,13232040450000,2016,27528,27528
60618,13261280320000,2018,27401,27401
60618,13234090670000,2019,34020,34020
60618,13241120090000,2017,31603,31603
60618,13133030250000,2016,35255,35255
60618,13241200080000,2016,26461,26461
60618,13261040130000,2017,33001,33001
60618,14301190471042,2017,2139,2139
60618,14183160170000,2017,94296,94296
60618,13144100130000,2020,35201,35201
60618,13243160190000,2020,42576,42576
60618,13241200300000,2020,34082,34082
60618,14193100461008,2020,23249,23249
60618,13243160180000,2020,22151,22151
60618,14301140300000,2016,39057,39057
60618,13262170270000,2020,27760,27760
60618,13133210310000,2016,53672,53672
60618,13241290210000,2017,29312,29312
60618,13144130250000,2018,64022,64022
60618,14183230121003,2016,23904,23904
60618,13232040510000,2019,33599,33599
60618,13231280230000,2019,5183,5183
60618,13243180441003,2020,45859,45859
60618,13252250060000,2020,42547,42547
60618,13232240110000,2020,29510,29510
60618,13261170050000,2020,31585,31585
60618,14193010080000,2020,123623,123623
60618,13262180750000,2020,30485,30485
60618,13251170120000,2020,69661,69661
60618,13252080511001,2020,37979,37979
60618,13251140170000,2019,38214,38214
60618,14191100411001,2017,31084,31084
60618,14193040420000,2020,57405,57405
60618,13231150321006,2016,13656,13656
60618,13243170290000,2016,190548,190548
60618,13251090160000,2020,40255,40255
60618,14302210641001,2019,45650,45650
60618,14191000351021,2016,22831,22831
60618,13261090240000,2020,26222,26222
60618,14301140350000,2020,31826,31826
60618,13231070070000,2020,26803,26803
60618,13134020300000,2017,53083,53083
60618,14301180301014,2017,29009,29009
60618,13261220600000,2017,34941,34941
60618,13144230030000,2017,30455,30455
60618,13232200110000,2019,43974,43974
60618,13143210141012,2017,16692,16692
60618,13144050391005,2017,13317,13317
60618,13144230250000,2017,38893,38893
60618,14302130541003,2016,41150,41150
