prop_address_zipcode_1,pin,year
60618,13143060170000,2018
60618,13143100100000,2018
60618,13241180380000,2019
60618,13261000301330,2019
60618,13133030371015,2019
60618,14193300521004,2021
60618,13251110070000,2021
60618,14301061011001,2021
60618,13233080010000,2022
60618,13233140320000,2019
60618,13133280451012,2019
60618,13262200310000,2019
60618,13231270100000,2021
60618,13252160501011,2019
60618,13232030020000,2019
60618,14193160400000,2017
60618,14193150290000,2017
60618,13232020150000,2020
60618,13143130250000,2021
60618,13231280360000,2021
60618,13133100230000,2021
60618,13231110270000,2021
60618,14301180301032,2021
60618,13261000301181,2021
60618,13261060370000,2017
60618,13143070110000,2017
60618,13144210260000,2016
60618,13232040450000,2016
60618,13232280240000,2022
60618,13261280320000,2018
60618,13241130200000,2021
60618,13261280400000,2021
60618,14183030250000,2021
60618,13234090670000,2019
60618,13241120090000,2017
60618,13133030250000,2016
60618,13241200080000,2016
60618,13261040130000,2017
60618,14301190471042,2017
60618,13252170481003,2022
60618,14183150220000,2022
60618,14183160170000,2017
60618,13262010100000,2022
60618,13144100130000,2020
60618,13243160190000,2020
60618,13241200300000,2020
60618,14193100461008,2020
60618,13243160180000,2020
60618,14301140300000,2016
60618,14183230121026,2022
60618,13243060010000,2022
60618,13233150310000,2022
60618,13262170270000,2020
60618,13133210310000,2016
60618,13144010290000,2021
60618,13241290210000,2017
60618,13144130250000,2018
60618,13243010040000,2021
60618,14183230121003,2016
60618,14193130060000,2021
60618,13232040510000,2019
60618,13231280230000,2019
60618,13133050190000,2021
60618,13232010260000,2021
60618,14301060941001,2021
60618,13243180441003,2020
60618,13252250060000,2020
60618,13232240110000,2020
60618,13261170050000,2020
60618,13262100310000,2021
60618,14183210601034,2022
60618,13243230191013,2022
60618,13133260110000,2022
60618,14183120140000,2022
60618,14193010080000,2020
60618,13262180750000,2020
60618,13251170120000,2020
60618,13252080511001,2020
60618,13251140170000,2019
60618,14191100411001,2017
60618,14193300230000,2021
60618,14193040420000,2020
60618,13231150321006,2016
60618,13243170290000,2016
60618,13251090160000,2020
60618,14302210641001,2019
60618,14191000351021,2016
60618,13134180320000,2021
60618,13241180391003,2021
60618,13261090240000,2020
60618,14301140350000,2020
60618,13231070070000,2020
60618,13134020300000,2017
60618,14301180301014,2017
60618,13261220600000,2017
60618,13144230030000,2017
60618,13262170520000,2022
60618,14183260080000,2021
60618,14301040440000,2021
60618,13144130080000,2021
60618,13133220310000,2021
60618,13262280240000,2021
60618,14193000210000,2022
60618,13251170170000,2021
60618,13243130110000,2021
60618,13232200110000,2019
60618,14193080160000,2021
60618,13241170420000,2021
60618,13144250220000,2021
60618,13241090220000,2021
60618,13143210141012,2017
60618,13144050391005,2017
60618,14301160231015,2022
60618,13144290240000,2021
60618,13242110050000,2022
60618,14301160231052,2022
60618,13144230250000,2017
60618,14193190210000,2021
60618,13143150411012,2021
60618,14302130541003,2016
60618,13262140670000,2017
60618,13143150411006,2021
60618,14191210401004,2018
60618,13144010060000,2018
60618,14193180451005,2020
60618,14193310361046,2020
60618,13143240250000,2020
60618,14193200120000,2020
60618,13261200320000,2021
60618,13233130260000,2021
60618,13251350040000,2020
60618,14193310361071,2020
60618,13233280391009,2022
60618,14191210330000,2020
60618,14183230121003,2019
60618,14193270300000,2020
60618,13242000680000,2020
60618,13232230040000,2020
60618,13241090170000,2019
60618,13231110130000,2019
60618,14183110300000,2020
60618,14191270180000,2020
60618,13232070310000,2020
60618,13143210141017,2017
60618,13232100070000,2019
60618,14301100190000,2020
60618,13251110301004,2020
60618,13133300311061,2020
60618,13133140411004,2020
60618,14191000351019,2019
60618,14193030030000,2017
60618,14301220300000,2020
60618,13233110240000,2017
60618,13233080310000,2017
60618,13133030381022,2017
60618,13262020280000,2019
60618,13244060220000,2018
60618,13242050270000,2018
60618,13144220270000,2018
60618,14301190471023,2018
60618,13262160330000,2020
60618,13144140340000,2020
60618,13251110210000,2020
60618,13143290230000,2022
60618,14193290551008,2022
60618,13241120280000,2022
60618,14191220471004,2022
60618,13261070030000,2019
60618,13133270150000,2017
60618,13261050480000,2017
60618,13233220471001,2021
60618,13144160360000,2019
60618,14301190481023,2019
60618,13243130040000,2019
60618,13262160370000,2019
60618,13262010300000,2017
60618,13252180410000,2019
60618,13134140461002,2020
60618,13262200140000,2019
60618,14193260090000,2019
60618,14183260350000,2019
60618,13134180180000,2021
60618,14191180380000,2021
60618,13262000150000,2021
60618,14301061061016,2021
60618,13252170180000,2020
60618,13234080590000,2017
60618,13233180170000,2021
60618,13262140570000,2021
60618,13262060190000,2021
